account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_eve_minutes,total_night_charge,total_intl_minutes,total_intl_calls,number_customer_service_calls,payment_delay,state_freq_encoded
96,0,1,31,183.4,195.5,8.1,10.5,5,1,0,0.0086274509803921
77,1,0,0,132.9,168.1,8.83,7.8,3,0,0,0.0254901960784313
129,0,0,0,207.0,154.9,11.03,13.4,5,3,0,0.0274509803921568
108,0,0,0,157.3,162.8,5.04,9.7,4,1,0,0.0164705882352941
136,0,0,0,250.2,267.1,6.8,13.0,2,1,1,0.0168627450980392
87,0,0,0,153.3,224.5,12.3,8.9,5,2,0,0.0207843137254901
22,0,1,23,182.1,164.6,5.8,12.7,4,3,0,0.0184313725490196
173,0,1,20,60.2,118.1,10.35,13.3,4,1,0,0.0211764705882352
75,0,0,0,225.3,228.0,11.44,11.7,3,1,0,0.0262745098039215
111,0,0,0,229.4,214.1,13.03,10.4,6,4,0,0.0192156862745098
75,0,0,0,224.7,192.0,9.55,11.3,11,3,0,0.0274509803921568
66,1,0,0,208.7,173.3,11.91,8.3,3,3,0,0.0211764705882352
130,0,0,0,138.7,205.6,10.4,13.6,3,2,0,0.0274509803921568
170,0,1,42,199.5,135.0,8.31,10.9,3,4,1,0.0192156862745098
31,0,0,0,177.3,152.8,7.33,5.1,2,0,0,0.0231372549019607
126,0,0,0,228.7,168.7,10.06,11.8,4,1,0,0.0215686274509803
69,0,0,0,143.6,141.8,8.73,10.8,5,3,0,0.0156862745098039
53,0,0,0,168.8,220.3,6.94,10.9,2,0,0,0.0176470588235294
93,0,0,0,162.9,243.6,7.76,7.0,5,4,0,0.0254901960784313
152,0,0,0,216.7,152.7,8.15,11.6,6,1,0,0.0215686274509803
66,0,0,0,154.0,198.9,6.84,9.5,3,4,1,0.0196078431372549
107,1,0,0,234.1,163.1,12.71,10.0,3,1,0,0.0176470588235294
98,0,0,0,187.2,195.6,8.18,5.1,4,1,0,0.0192156862745098
108,0,0,0,112.0,193.7,9.4,4.1,4,4,1,0.0156862745098039
93,0,0,0,190.2,262.2,5.85,8.8,4,0,0,0.0156862745098039
104,0,0,0,109.1,187.1,9.75,10.0,4,3,0,0.0156862745098039
72,0,1,31,221.4,313.4,7.92,11.8,1,3,0,0.0262745098039215
132,0,0,0,138.7,257.5,7.45,7.8,1,2,0,0.0215686274509803
73,0,1,31,194.4,176.0,10.35,11.5,3,0,0,0.0184313725490196
78,1,0,0,71.5,166.8,9.52,8.3,2,3,1,0.0168627450980392
95,0,0,0,88.0,145.9,10.7,9.8,2,2,0,0.016078431372549
204,0,0,0,174.3,254.1,7.94,5.9,3,6,0,0.0254901960784313
162,0,1,33,184.5,183.2,5.73,12.3,6,0,0,0.0164705882352941
99,0,0,0,146.7,274.0,14.46,8.9,1,3,0,0.0211764705882352
52,1,0,0,144.5,296.5,8.74,12.4,3,1,0,0.0184313725490196
69,0,0,0,244.8,77.2,10.03,10.0,3,0,0,0.0207843137254901
80,0,0,0,142.9,221.6,5.46,15.2,4,1,0,0.0172549019607843
128,0,0,0,103.3,245.9,7.25,6.4,7,0,0,0.0192156862745098
34,0,0,0,193.7,126.9,9.95,8.8,4,0,0,0.016078431372549
70,0,1,23,205.5,224.3,8.82,9.7,4,1,0,0.0207843137254901
44,0,0,0,308.6,150.8,8.94,7.3,3,4,1,0.0133333333333333
108,0,0,0,199.3,224.2,6.3,15.2,2,0,0,0.0203921568627451
161,0,0,0,178.1,146.5,6.19,8.5,2,1,0,0.0211764705882352
171,0,0,0,221.5,109.5,6.06,11.6,4,1,0,0.0223529411764705
127,0,0,0,200.8,181.4,4.04,9.7,5,0,0,0.0184313725490196
140,0,0,0,162.6,206.2,6.37,8.2,2,1,0,0.0215686274509803
89,0,1,25,215.1,197.4,7.29,10.6,10,1,0,0.0207843137254901
141,0,1,37,185.4,178.5,9.82,8.0,3,4,0,0.0172549019607843
172,0,1,47,274.9,186.6,11.03,8.8,2,1,0,0.0184313725490196
164,0,1,30,238.8,230.0,9.28,13.2,8,1,0,0.0192156862745098
121,0,1,28,110.0,141.5,10.68,6.4,3,2,0,0.0274509803921568
8,0,0,0,176.0,234.2,8.71,8.5,5,1,0,0.0184313725490196
76,0,1,40,177.9,119.3,6.32,10.3,1,2,0,0.0192156862745098
169,0,0,0,135.7,223.0,7.54,9.5,4,1,0,0.016078431372549
137,0,0,0,147.2,192.8,7.77,10.2,4,1,0,0.0215686274509803
130,0,0,0,139.0,120.2,7.22,14.5,2,3,0,0.0231372549019607
103,0,0,0,170.6,144.8,8.71,6.0,3,0,0,0.0215686274509803
116,0,0,0,159.4,179.5,7.55,9.7,2,6,1,0.0168627450980392
94,0,0,0,190.6,152.3,6.51,7.5,5,1,0,0.0176470588235294
117,0,1,38,259.3,245.6,12.12,9.2,1,3,0,0.0211764705882352
109,0,0,0,222.2,218.5,11.97,10.9,5,1,0,0.0215686274509803
120,0,0,0,163.6,237.3,8.38,12.3,5,0,0,0.0188235294117647
95,1,0,0,228.9,255.7,9.36,10.1,2,4,1,0.0184313725490196
106,0,1,32,165.9,216.5,7.79,14.1,8,4,0,0.0176470588235294
133,0,0,0,240.8,202.7,9.58,7.7,5,1,0,0.0211764705882352
117,0,1,35,190.7,209.7,9.11,12.4,5,1,0,0.0156862745098039
69,0,0,0,227.0,258.7,7.64,8.9,1,2,0,0.0207843137254901
19,1,0,0,237.7,207.1,8.2,4.5,4,0,0,0.0223529411764705
72,0,0,0,118.2,167.2,9.64,12.2,3,3,0,0.0231372549019607
189,0,0,0,219.9,143.3,5.88,11.7,7,1,0,0.0203921568627451
140,0,0,0,220.1,182.2,11.26,11.6,8,1,0,0.0156862745098039
75,0,0,0,203.3,228.9,10.0,14.3,3,1,0,0.0184313725490196
110,0,0,0,159.5,202.3,11.52,16.7,2,2,0,0.0184313725490196
106,0,0,0,165.3,210.0,8.42,8.5,3,2,0,0.0168627450980392
91,0,1,44,216.6,173.1,10.89,9.1,3,1,0,0.0211764705882352
77,0,1,32,192.2,165.4,10.36,8.0,6,1,0,0.0168627450980392
52,0,1,24,170.9,201.4,7.15,4.1,5,2,0,0.0137254901960784
165,0,1,33,111.6,213.3,12.04,16.0,3,0,0,0.0211764705882352
105,0,0,0,273.8,289.7,12.11,5.8,3,2,1,0.0176470588235294
86,0,0,0,171.8,301.7,6.27,9.7,5,1,0,0.0184313725490196
104,0,0,0,261.2,209.1,12.65,11.3,1,2,1,0.0227450980392156
115,0,0,0,245.0,250.7,12.16,13.7,8,1,1,0.0211764705882352
104,0,0,0,182.9,239.6,10.34,5.5,4,2,0,0.0184313725490196
131,0,0,0,256.6,225.2,8.56,11.1,3,1,1,0.0337254901960784
147,0,1,38,243.4,273.8,12.73,14.1,8,2,0,0.016078431372549
96,0,0,0,260.4,146.0,12.13,11.5,4,5,0,0.0207843137254901
54,0,1,33,112.0,208.0,6.76,11.3,4,2,0,0.0337254901960784
12,1,0,0,216.7,116.5,9.9,9.8,4,2,0,0.0192156862745098
116,0,0,0,271.0,209.9,8.71,13.7,2,5,1,0.0203921568627451
101,0,0,0,332.1,151.0,12.5,11.3,3,1,1,0.0231372549019607
148,0,1,11,252.9,284.3,11.83,12.3,1,1,0,0.0172549019607843
51,0,0,0,180.5,134.7,7.68,10.0,3,2,0,0.0227450980392156
75,0,0,0,190.5,178.4,7.31,13.1,5,1,0,0.0192156862745098
151,0,0,0,175.7,152.3,6.3,10.7,10,1,0,0.0176470588235294
111,1,0,0,159.4,269.3,8.09,13.7,2,2,1,0.0172549019607843
172,0,0,0,203.9,234.0,7.23,17.8,4,4,0,0.0207843137254901
77,0,0,0,124.1,214.9,10.86,13.7,3,0,0,0.0254901960784313
69,1,1,33,271.5,253.4,7.44,8.2,2,1,1,0.0176470588235294
48,0,0,0,240.0,141.0,5.8,7.1,9,1,0,0.0250980392156862
130,0,0,0,68.4,193.3,7.72,10.4,4,0,0,0.0184313725490196
124,0,0,0,108.2,214.3,8.35,13.2,11,4,1,0.0211764705882352
94,0,0,0,271.2,202.6,9.97,11.5,3,3,1,0.0262745098039215
182,0,0,0,176.1,174.9,10.56,9.7,4,1,0,0.0274509803921568
73,0,0,0,286.4,178.2,9.64,10.7,14,1,1,0.0227450980392156
59,0,0,0,204.3,247.3,9.66,12.0,4,1,0,0.0250980392156862
120,0,0,0,165.0,317.2,5.36,8.3,8,1,0,0.0250980392156862
105,0,0,0,119.3,185.1,7.07,10.9,4,2,0,0.0168627450980392
147,0,1,36,254.2,228.1,4.41,13.8,7,5,0,0.0211764705882352
80,1,0,0,276.5,195.6,9.46,7.2,3,1,1,0.0168627450980392
87,0,0,0,58.0,67.5,8.37,11.5,3,0,0,0.0337254901960784
119,0,0,0,215.1,249.4,11.25,10.8,8,2,0,0.0184313725490196
62,0,0,0,172.4,230.5,10.27,11.0,5,0,0,0.0262745098039215
100,0,0,0,131.1,176.2,4.04,4.3,4,1,0,0.0196078431372549
215,0,0,0,83.6,120.9,10.2,10.7,9,0,0,0.0262745098039215
1,0,1,30,183.1,232.6,11.17,8.4,2,0,0,0.0211764705882352
145,0,0,0,224.2,314.9,8.23,16.1,3,1,1,0.0207843137254901
166,1,1,28,175.8,253.6,5.78,11.4,5,1,0,0.0192156862745098
90,0,0,0,193.7,154.2,13.46,12.7,3,1,0,0.0168627450980392
122,0,1,27,253.7,229.2,8.57,9.2,5,7,0,0.0168627450980392
149,0,1,18,148.5,114.5,8.02,6.5,4,0,0,0.0188235294117647
3,0,1,27,67.4,244.0,12.65,11.4,2,2,0,0.0176470588235294
110,0,0,0,149.8,180.0,6.3,11.7,4,2,0,0.0211764705882352
111,0,0,0,110.4,137.3,8.53,7.7,6,2,0,0.0156862745098039
115,0,0,0,275.5,225.8,14.73,4.8,2,3,1,0.0176470588235294
160,0,0,0,166.4,317.0,7.22,10.0,2,1,0,0.0207843137254901
124,0,0,0,151.1,187.4,11.49,5.3,3,1,0,0.0176470588235294
113,0,0,0,92.6,177.6,7.19,14.4,4,3,0,0.0176470588235294
124,0,0,0,169.3,178.6,10.9,12.2,3,1,0,0.0211764705882352
65,0,0,0,245.7,241.9,12.84,4.2,5,4,1,0.0207843137254901
161,0,0,0,297.9,238.1,10.82,8.9,5,1,1,0.0156862745098039
64,1,0,0,236.2,218.6,8.73,13.2,2,2,1,0.0215686274509803
91,0,0,0,149.0,245.3,11.7,8.3,3,0,0,0.0145098039215686
64,0,0,0,162.6,152.3,2.59,14.2,3,1,0,0.0211764705882352
130,0,0,0,176.9,90.7,10.71,9.5,2,1,0,0.0227450980392156
81,1,1,32,229.0,221.0,13.11,12.4,5,1,0,0.0215686274509803
96,0,1,45,248.8,140.3,11.86,10.3,2,3,0,0.0203921568627451
117,0,0,0,181.5,205.1,9.18,14.7,9,2,0,0.0137254901960784
126,0,0,0,167.1,154.4,11.0,13.7,10,3,0,0.0211764705882352
52,0,0,0,215.9,217.0,15.43,5.2,2,1,0,0.0156862745098039
22,0,0,0,110.3,166.5,9.1,9.5,5,0,0,0.0156862745098039
90,0,0,0,169.4,157.2,7.76,10.7,2,1,0,0.0192156862745098
116,0,0,0,215.6,105.5,13.13,11.2,7,3,0,0.0184313725490196
28,0,0,0,225.7,206.9,7.56,13.8,3,1,0,0.0207843137254901
82,0,0,0,207.2,163.7,8.68,9.3,4,7,0,0.0207843137254901
